Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
ORD-00BCB25B,2024-04-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,None,0.81,8.9,1.83,1611.81,1781,Standard Shipping
ORD-EBDBACB7,2024-09-08,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,5,2,0,On Time,None,0.7,5.9,2.44,76127.7,8142,Standard Shipping
ORD-4052DA06,2025-01-28,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,4,4,0,On Time,None,0.46,8.1,3.86,13699.18,1706,Standard Shipping
ORD-03F41ABB,2025-02-04,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,36,35,0,On Time,None,0.88,9.3,1.58,5448.24,5796,Standard Shipping
ORD-347A88A6,2025-05-20,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,13,12,0,On Time,None,0.55,2.9,3.12,1215.98,1569,Standard Shipping
ORD-113CD5AB,2025-11-01,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,None,0.12,7.1,2.77,2890.72,5162,Standard Shipping
ORD-2A8EE4EE,2024-03-23,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,26,23,0,On Time,None,0.5,1.2,4.59,6888.0,9184,Standard Shipping
ORD-C6B65B99,2025-11-20,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,7,0,On Time,None,0.83,2.6,3.77,6060.05,6623,Standard Shipping
ORD-A5C7A8D7,2024-06-25,"Hamburg, DE","New York, US",Atlantic,Sea,Pharmaceuticals,12,15,18,3,Late,Port Congestion,0.74,5.8,2.96,12325.2,8586,Expedited Air Freight
ORD-B5E7E96D,2025-11-29,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,27,0,On Time,None,0.67,4.3,4.32,1486.3,1780,Standard Shipping
ORD-358B0702,2025-04-14,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,31,39,8,Late,Geopolitical Conflict (Route Diversion),0.64,7.1,2.76,9950.21,7584,Re-routing
ORD-37E43ECB,2025-04-30,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,10,7,0,On Time,None,0.74,5.0,3.93,7899.6,9080,Standard Shipping
ORD-88909D01,2025-03-11,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,None,0.11,1.5,5.88,2501.39,4507,Standard Shipping
ORD-4CB1E7FD,2024-11-25,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Consumer Electronics,7,9,6,0,On Time,None,0.31,4.9,3.23,2209.97,3374,Standard Shipping
ORD-BB2427A8,2025-09-03,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,17,7,Late,Severe Weather (Typhoon/Storm),0.77,3.2,3.85,690.3,650,Standard Shipping
ORD-4979D2B8,2025-03-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,17,0,On Time,None,0.87,8.4,3.44,2897.57,3099,Standard Shipping
ORD-9141F2E9,2025-03-04,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,4,2,0,On Time,None,0.7,4.1,3.96,30742.8,3288,Standard Shipping
ORD-589AD0E2,2025-10-19,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,14,12,0,On Time,None,0.59,2.0,2.69,1160.7,1460,Standard Shipping
ORD-0F2972D6,2025-07-24,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,21,19,0,On Time,None,0.22,3.1,4.5,3631.33,5953,Standard Shipping
ORD-28189C73,2025-08-29,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,4,2,0,On Time,None,0.54,4.7,3.43,19557.23,2309,Standard Shipping
ORD-2F57A3C6,2025-08-22,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Pharmaceuticals,3,5,21,16,Late,Geopolitical Conflict (Route Diversion),0.43,1.6,3.66,27993.12,1483,Expedited Air Freight
